reviewText,overall,summary,asin,reviewerID,sentiment_label,review_word_count,review_char_count,full_text,vader_prediction,vader_compound,textblob_prediction,textblob_polarity
"I will never buy again from this seller - Micca Distributor. They do not operate their business with integrity and they have no concern for their customers. They are unresponsive and dishonest. The one star is for Amazon for making this right and giving me a refund. OK, on to the product. There is NO reason to buy this product. It is cheap, inferior quality. The supplied toskink cable that comes with the FiiO is a throw-away. Better to spend another $10-$20 and get a decent cable. Thanks to another reviewer, I ordered the Orei and did a side-by-side comparison. The Orei produces exponentially superior sound quality. Using the Orei with an Apple TV streaming from my iTunes library, it works fine for whole house audio distribution of background music. Let's be honest - Neither is an audiophile level DAC. If you want that, think about spending hundreds, not $30. I haven't tried the Geffen, which is a good company, but the reviews are worse at twice the price. Do yourself a favor - Don't make my mistake - Don't buy this product.",1.0,Stay away from this!,B005K2TXMO,A1C94S4BGCEJ3R,Negative,183,1040,"Stay away from this! I will never buy again from this seller - Micca Distributor. They do not operate their business with integrity and they have no concern for their customers. They are unresponsive and dishonest. The one star is for Amazon for making this right and giving me a refund. OK, on to the product. There is NO reason to buy this product. It is cheap, inferior quality. The supplied toskink cable that comes with the FiiO is a throw-away. Better to spend another $10-$20 and get a decent cable. Thanks to another reviewer, I ordered the Orei and did a side-by-side comparison. The Orei produces exponentially superior sound quality. Using the Orei with an Apple TV streaming from my iTunes library, it works fine for whole house audio distribution of background music. Let's be honest - Neither is an audiophile level DAC. If you want that, think about spending hundreds, not $30. I haven't tried the Geffen, which is a good company, but the reviews are worse at twice the price. Do yourself a favor - Don't make my mistake - Don't buy this product.",Positive,0.7981,Positive,0.3120748299319728
"Broke after 6 months of regular use. Bought another, hoping it will last but yup this one also broke. I never dropped either or submerged them in water. I've had other sonicares last years. Something with this model was cheaply made as many other reviewers brushes also failed.",1.0,Broke after 6 Months,B004M1BO3U,A8QLBXF7GXDA7,Negative,48,277,"Broke after 6 Months Broke after 6 months of regular use. Bought another, hoping it will last but yup this one also broke. I never dropped either or submerged them in water. I've had other sonicares last years. Something with this model was cheaply made as many other reviewers brushes also failed.",Negative,-0.8765,Neutral,0.018750000000000003
"Even after a 48hour cure to allow any solvent to off-gas, this stuff WILL STILL SUSTAIN A FLAME. Its not even self-extinguishing, let alone resistant to heat or flame. This product is a terrible, dangerous, fire PROMOTER, not blocker. Don't waste your money, just use the regular greatstuff, as neither provide a benefit in the event of a fire.",1.0,"Flammable and inflamable mean the same thing, GreatStuff company doesn't know that...",B001AQ3OGA,A2VQ435101UNW0,Negative,59,344,"Flammable and inflamable mean the same thing, GreatStuff company doesn't know that... Even after a 48hour cure to allow any solvent to off-gas, this stuff WILL STILL SUSTAIN A FLAME. Its not even self-extinguishing, let alone resistant to heat or flame. This product is a terrible, dangerous, fire PROMOTER, not blocker. Don't waste your money, just use the regular greatstuff, as neither provide a benefit in the event of a fire.",Negative,-0.9269,Negative,-0.35208333333333336
"Used once more than month ago, my eye lids still swollen! Bad product be aware!",1.0,Bad side effects!,B006MWPXSE,A288PQEF8WAVMI,Negative,15,79,"Bad side effects! Used once more than month ago, my eye lids still swollen! Bad product be aware!",Negative,-0.8349,Negative,-0.1593749999999999
"Items of EXREMELY poor quality; out of the bag, the alligator clips were not connected or pulled off leads. Some leads were not adequately crimped, some leads were open circuit, vinyl clip insulators slip off easily and are difficult to reinstall. I would not buy these items again.",1.0,"Very Poor Quality, Chinese Crap - Do not buy these",B0002KRABU,A1IYHHZZ4HO6VF,Negative,48,282,"Very Poor Quality, Chinese Crap - Do not buy these Items of EXREMELY poor quality; out of the bag, the alligator clips were not connected or pulled off leads. Some leads were not adequately crimped, some leads were open circuit, vinyl clip insulators slip off easily and are difficult to reinstall. I would not buy these items again.",Negative,-0.8479,Negative,-0.2441666666666667
"makes me want to curse. this thing does not work reliably, turns itself off depending on angle.",1.0,One Star,B0070YPDDS,AWBLKZI5SVBL6,Negative,17,95,"One Star makes me want to curse. this thing does not work reliably, turns itself off depending on angle.",Negative,-0.4939,Neutral,0.0
"**UPDATE** after having 14days of print time, it continuously resets itself on every print. Will NOT complete a single print more than 5%. I have been trying to contact monoprice customer service for over a week, with no responses... Im getting very disappointed with this company. Upon researching further, this is a common problem with their main board. Any help would be greatly appreciated, especially if the company actually reads and/or cares about customer satisfaction. __________________________________________________________________________________________________________________________ As a Novice in the hobby, I find the controls very easy to use. The learning curve is on the software, but thats to be expected with any new program you aren't use to. LEVEL YOUR BED AND EXTRUDER or ""You're Not gonna have a good time""",1.0,Main Board burnt out within 2 weeks of printing.  No response from Monoprice Customer Service,B018GZBC3Y,ADCBLOY99T2MO,Negative,123,835,"Main Board burnt out within 2 weeks of printing.  No response from Monoprice Customer Service **UPDATE** after having 14days of print time, it continuously resets itself on every print. Will NOT complete a single print more than 5%. I have been trying to contact monoprice customer service for over a week, with no responses... Im getting very disappointed with this company. Upon researching further, this is a common problem with their main board. Any help would be greatly appreciated, especially if the company actually reads and/or cares about customer satisfaction. __________________________________________________________________________________________________________________________ As a Novice in the hobby, I find the controls very easy to use. The learning curve is on the software, but thats to be expected with any new program you aren't use to. LEVEL YOUR BED AND EXTRUDER or ""You're Not gonna have a good time""",Positive,0.778,Neutral,0.06244011544011543
"After a month, it still curls up- the carpet its on does have a tight weave but the grips are unable to keep it from moving.",2.0,"After a month, it still curls up- the carpet ...",B00H222E8A,A1AMDWCI4GS7N0,Negative,26,124,"After a month, it still curls up- the carpet ... After a month, it still curls up- the carpet its on does have a tight weave but the grips are unable to keep it from moving.",Neutral,0.0,Negative,-0.3392857142857143
"I didn't get good lamination. Prints came out very stringy. Looks like I need to print hotter, but without an all metal tool path I'm hesitant. Also, LOTS of water uptake! First two prints went real well. I left it out over night (which I do with my PET and PLA), and the next day, hissing and spitting as it went into the hotend.",2.0,"Not an easy filament, even if it's an improvement over other nylon",B00QRR292C,A1HV90IHI1R6TI,Negative,64,330,"Not an easy filament, even if it's an improvement over other nylon I didn't get good lamination. Prints came out very stringy. Looks like I need to print hotter, but without an all metal tool path I'm hesitant. Also, LOTS of water uptake! First two prints went real well. I left it out over night (which I do with my PET and PLA), and the next day, hissing and spitting as it went into the hotend.",Positive,0.2306,Positive,0.21354166666666666
Don't buy here... very old very brittle. Will have to crank up your temps to get to work. Hatchbox is good PLA this spool is just really old.,1.0,Don't buy here.,B00J0ECR5I,A32ZRPZ8NF64K5,Negative,28,141,Don't buy here. Don't buy here... very old very brittle. Will have to crank up your temps to get to work. Hatchbox is good PLA this spool is just really old.,Positive,0.4404,Positive,0.28250000000000003
